Country,year,Population,area
Guinea,1963,3749920.0,245860.0
Guinea-Bissau,1963,636593.0,36130.0
Guyana,1963,618887.0,214970.0
Haiti,1963,4103732.0,27750.0
Honduras,1963,2211144.0,112490.0
"Hong Kong, China",1963,3554025.0,1092.0
Hungary,1963,10099999.0,93030.0
Iceland,1963,186056.0,103000.0
India,1963,477729958.0,3287260.0
Indonesia,1963,95055669.0,1904570.0
Iran,1963,23680433.0,1745150.0
Iraq,1963,7888914.0,438320.0
Ireland,1963,2831911.0,70280.0
Isle of Man,1963,49089.0,570.0
Israel,1963,2355929.0,22070.0
Italy,1963,50872976.0,301340.0
Jamaica,1963,1709690.0,10990.0
Japan,1963,95227653.0,377800.0
Jordan,1963,1000506.0,88780.0
Kazakhstan,1963,11211938.0,2724900.0
Kenya,1963,8908425.0,580370.0
Kiribati,1963,44372.0,810.0
Kosovo,1963,1374018.0,10887.0
Kuwait,1963,381665.0,17820.0
Kyrgyzstan,1963,2406263.0,199950.0
Laos,1963,2272078.0,236800.0
Latvia,1963,2211297.0,64550.0
Lebanon,1963,1984982.0,10450.0
Lesotho,1963,898342.0,30360.0
Liberia,1963,1196588.0,111370.0
Libya,1963,1592111.0,1759540.0
Liechtenstein,1963,17722.0,160.0
Lithuania,1963,2887887.0,65300.0
Luxembourg,1963,324127.0,
"Macao, China",1963,188703.0,28.0
"Macedonia, FYR",1963,1547445.0,25710.0
Madagascar,1963,5486593.0,587040.0
Malawi,1963,3872124.0,118480.0
Malaysia,1963,8999247.0,330800.0
Maldives,1963,97556.0,300.0
Mali,1963,5441611.0,1240190.0
Malta,1963,308815.0,320.0
Marshall Islands,1963,16111.0,
Mauritania,1963,936014.0,1030700.0
Mauritius,1963,717413.0,2040.0
Mayotte,1963,27879.0,370.0
Mexico,1963,41939880.0,1964380.0
"Micronesia, Fed. Sts.",1963,48875.0,700.0
Moldova,1963,3212094.0,33760.0
Monaco,1963,23169.0,2.0
Mongolia,1963,1042383.0,1564120.0
Montenegro,1963,520714.0,13810.0
Morocco,1963,13488517.0,446550.0
Mozambique,1963,7961458.0,799380.0
Myanmar,1963,22947286.0,676590.0
Namibia,1963,648668.0,824290.0
Nepal,1963,10544586.0,147180.0
Netherlands,1963,11896942.0,41530.0
New Caledonia,1963,85908.0,18580.0
New Zealand,1963,2530791.0,267710.0
Nicaragua,1963,1943591.0,130370.0
Niger,1963,3703159.0,1267000.0
Nigeria,1963,48128460.0,923770.0
Northern Mariana Islands,1963,10709.0,
Norway,1963,3666690.0,323800.0
Oman,1963,593504.0,309500.0
Pakistan,1963,48312888.0,796100.0
Palau,1963,10381.0,
Panama,1963,1238824.0,75420.0
Papua New Guinea,1963,2075630.0,462840.0
Paraguay,1963,2058916.0,406750.0
Peru,1963,10961539.0,1285220.0
Philippines,1963,29016770.0,300000.0
Poland,1963,30893775.0,312690.0
Portugal,1963,8924221.0,92120.0
Puerto Rico,1963,2491284.0,8870.0
Qatar,1963,61647.0,11590.0
Romania,1963,19059874.0,238390.0
Russia,1963,124193114.0,17098240.0
Rwanda,1963,3102968.0,26340.0
Samoa,1963,119564.0,2840.0
San Marino,1963,16616.0,60.0
Sao Tome and Principe,1963,64181.0,960.0
Saudi Arabia,1963,4516663.0,2149690.0
Senegal,1963,3450418.0,196720.0
Serbia,1963,7725501.0,88360.0
Seychelles,1963,44515.0,460.0
Sierra Leone,1963,2269890.0,71740.0
Singapore,1963,1790682.0,680.0
Slovak Republic,1963,4294673.0,49030.0
Slovenia,1963,1614022.0,20270.0
Solomon Islands,1963,128863.0,28900.0
Somalia,1963,2937360.0,637660.0
South Africa,1963,18809939.0,1219090.0
Spain,1963,31479529.0,505990.0
Sri Lanka,1963,10608672.0,65610.0
Sudan,1963,8223613.0,2505810.0
Suriname,1963,314530.0,163820.0
Swaziland,1963,373991.0,17360.0
Sweden,1963,7627722.0,450300.0
Switzerland,1963,5618160.0,41280.0
Syria,1963,5057825.0,185180.0
Tajikistan,1963,2312193.0,142550.0
Tanzania,1963,11005882.0,947300.0
Thailand,1963,29967043.0,513120.0
East Timor,1963,526936.0,14870.0
Togo,1963,1631763.0,56790.0
Tonga,1963,69000.0,750.0
Trinidad and Tobago,1963,892571.0,5130.0
Tunisia,1963,4377636.0,163610.0
Turkey,1963,29597047.0,783560.0
Turkmenistan,1963,1769008.0,488100.0
Turks and Caicos Islands,1963,5741.0,950.0
Tuvalu,1963,6542.0,30.0
Uganda,1963,7487411.0,241550.0
Ukraine,1963,44285897.0,603560.0
United Arab Emirates,1963,125216.0,83600.0
United Kingdom,1963,53537821.0,243610.0
United States,1963,194513911.0,9629090.0
Uruguay,1963,2635128.0,176220.0
Uzbekistan,1963,9611601.0,447400.0
Vanuatu,1963,69962.0,12190.0
Venezuela,1963,9130346.0,912050.0
West Bank and Gaza,1963,1159693.0,6020.0
Vietnam,1963,35722092.0,331690.0
Virgin Islands (U.S.),1963,42314.0,350.0
Zambia,1963,3342894.0,752610.0
Zimbabwe,1963,4140804.0,390760.0
Afghanistan,1964,9728645.0,652230.0
Albania,1964,1843596.0,28750.0
Algeria,1964,12295973.0,2381740.0
American Samoa,1964,22701.0,200.0
Andorra,1964,17470.0,470.0
Angola,1964,5665701.0,1246700.0
Antigua & Barbuda,1964,58500.0,440.0
Argentina,1964,21953926.0,2780400.0
Armenia,1964,2138133.0,29740.0
Aruba,1964,57029.0,180.0
Australia,1964,11114995.0,7741220.0
Austria,1964,7249855.0,83870.0
Azerbaijan,1964,4445653.0,86600.0
Bahamas,1964,133697.0,13880.0
Bahrain,1964,182774.0,690.0
Bangladesh,1964,54129390.0,144000.0
Barbados,1964,234547.0,430.0
Belarus,1964,8521433.0,207600.0
Belgium,1964,9383443.0,
Belize,1964,103070.0,22970.0
Benin,1964,2586362.0,112620.0
Bermuda,1964,48436.0,50.0
Bhutan,1964,246324.0,47000.0
Bolivia,1964,3990855.0,1098580.0
Bosnia-Herzegovina,1964,3468083.0,51210.0
Botswana,1964,579560.0,581730.0
Brazil,1964,81751802.0,8514880.0
Brunei,1964,97933.0,5770.0
Bulgaria,1964,8141171.0,110990.0
Burkina Faso,1964,5098892.0,274220.0
Burundi,1964,3011957.0,27830.0
Cambodia,1964,6329411.0,181040.0
Cameroon,1964,5850454.0,475440.0
Canada,1964,19349346.0,9984670.0
Cape Verde,1964,223854.0,4030.0
Cayman Islands,1964,8299.0,260.0
Chad,1964,3247798.0,1284000.0
Channel Islands,1964,113778.0,190.0
Chile,1964,8423614.0,756090.0
China,1964,690932043.0,9599960.0
Colombia,1964,18581972.0,1141750.0
Comoros,1964,201665.0,1860.0
"Congo, Dem. Rep.",1964,16903899.0,2344860.0
"Congo, Rep.",1964,1126602.0,342000.0
Costa Rica,1964,1537035.0,51100.0
Cote d'Ivoire,1964,4049675.0,322460.0
Croatia,1964,4304984.0,56540.0
Cuba,1964,7787149.0,109890.0
Cyprus,1964,578629.0,9250.0
Denmark,1964,4723496.0,43090.0
Djibouti,1964,107584.0,23200.0
Dominica,1964,63921.0,750.0
Ecuador,1964,5099470.0,283560.0
Egypt,1964,30094082.0,1001450.0
El Salvador,1964,3106186.0,21040.0
Equatorial Guinea,1964,264743.0,28050.0
Eritrea,1964,1550297.0,117600.0
Estonia,1964,1275471.0,45230.0
Ethiopia,1964,24396965.0,1221900.0
Faeroe Islands,1964,35946.0,1390.0
Fiji,1964,450452.0,18270.0
Finland,1964,4546343.0,338150.0
France,1964,48402900.0,549190.0
French Polynesia,1964,90132.0,4000.0
Gabon,1964,523793.0,267670.0
Gambia,1964,394552.0,11300.0
Georgia,1964,4419583.0,69700.0
Germany,1964,75410766.0,356970.0
Ghana,1964,7513286.0,238540.0
Gibraltar,1964,22894.0,10.0
Greece,1964,8492232.0,131960.0
Greenland,1964,36441.0,341700.0
Grenada,1964,94066.0,340.0
Guam,1964,73048.0,540.0
Guatemala,1964,4600846.0,108890.0
Guinea,1964,3812004.0,245860.0
Guinea-Bissau,1964,643962.0,36130.0
Guyana,1964,635778.0,214970.0
Haiti,1964,4186636.0,27750.0
Honduras,1964,2282764.0,112490.0
"Hong Kong, China",1964,3695136.0,1092.0
Hungary,1964,10135688.0,93030.0
Iceland,1964,189276.0,103000.0
India,1964,487690114.0,3287260.0
Indonesia,1964,97638027.0,1904570.0
Iran,1964,24308080.0,1745150.0
Iraq,1964,8122200.0,438320.0
Ireland,1964,2844373.0,70280.0
Isle of Man,1964,49818.0,570.0
Israel,1964,2443297.0,22070.0
Italy,1964,51289904.0,301340.0
Jamaica,1964,1737616.0,10990.0
Japan,1964,96253064.0,377800.0
Jordan,1964,1050725.0,88780.0
Kazakhstan,1964,11577537.0,2724900.0
Kenya,1964,9200158.0,580370.0
Kiribati,1964,45424.0,810.0
Kosovo,1964,1386816.0,10887.0
Kuwait,1964,431366.0,17820.0
Kyrgyzstan,1964,2490244.0,199950.0
Laos,1964,2325742.0,236800.0
Latvia,1964,2236844.0,64550.0
Lebanon,1964,2041212.0,10450.0
Lesotho,1964,915473.0,30360.0
